Force_1_N,Force_2_N,Force_3_N,Force_4_N
0.00,-0.01,0.01,0.01
0.00,-0.02,0.01,0.02
0.01,-0.01,0.01,0.02
0.00,-0.01,0.02,0.01
0.00,-0.01,0.01,0.01
-0.00,-0.01,0.02,0.01
0.01,-0.01,0.02,0.01
0.00,-0.01,0.01,0.01
0.00,-0.02,0.01,0.01
-0.00,-0.01,0.01,0.02
0.01,-0.01,0.01,0.02
0.00,-0.01,0.01,0.02
0.00,-0.02,0.02,0.01
0.00,-0.02,0.01,0.01
0.00,-0.01,0.01,0.02
0.00,-0.02,0.01,0.01
0.00,-0.01,0.01,0.01
0.00,-0.01,0.01,0.02
0.00,-0.02,0.01,0.02
0.00,-0.02,0.02,0.02
0.00,-0.01,0.02,0.01
0.00,-0.01,0.01,0.02
0.00,-0.01,0.01,0.02
0.00,-0.01,0.01,0.01
0.00,-0.01,0.01,0.01
0.00,-0.02,0.01,0.01
0.00,-0.02,0.01,0.01
0.00,-0.01,0.01,0.02
0.01,-0.02,0.02,0.01
0.00,-0.01,0.01,0.01
0.01,-0.01,0.01,0.01
0.00,-0.01,0.02,0.02
0.01,-0.01,0.01,0.01
-0.00,-0.02,0.01,0.01
0.00,-0.02,0.01,0.02
0.00,-0.02,0.02,0.01
0.00,-0.01,0.01,0.02
0.00,-0.01,0.02,0.02
0.01,-0.01,0.01,0.02
-0.00,-0.02,0.01,0.02
0.00,-0.02,0.01,0.01
0.00,-0.01,0.01,0.01
0.01,-0.02,0.02,0.01
0.00,-0.02,0.01,0.02
0.01,-0.01,0.01,0.02
0.00,-0.01,0.01,0.02
0.00,-0.01,0.01,0.01
0.00,-0.01,0.01,0.01
0.00,-0.01,0.01,0.02
0.01,-0.01,0.01,0.01
0.01,-0.01,0.02,0.01
0.00,-0.02,0.01,0.01
0.01,-0.01,0.01,0.01
-0.00,-0.01,0.01,0.01
0.01,-0.02,0.01,0.01
0.00,-0.01,0.01,0.01
0.00,-0.01,0.02,0.02
0.01,-0.01,0.01,0.02
0.00,-0.01,0.01,0.02
0.00,-0.01,0.01,0.02
0.00,-0.01,0.02,0.01
0.01,-0.01,0.01,0.01
0.00,-0.02,0.01,0.02
0.01,-0.02,0.01,0.02
0.00,-0.01,0.01,0.01
0.01,-0.01,0.01,0.01
0.00,-0.01,0.01,0.02
0.00,-0.02,0.01,0.01
-0.00,-0.02,0.02,0.01
0.00,-0.01,0.01,0.02
0.00,-0.02,0.01,0.01
0.01,-0.02,0.01,0.01
0.00,-0.01,0.01,0.01
0.00,-0.01,0.02,0.02
0.01,-0.01,0.01,0.01
0.01,-0.01,0.02,0.01
